name,fk_region_name
Iquique,Tarapacá
Alto Hospicio,Tarapacá
Pozo Almonte,Tarapacá
Camiña,Tarapacá
Colchane,Tarapacá
Huara,Tarapacá
Pica,Tarapacá
Antofagasta,Antofagasta
Mejillones,Antofagasta
Sierra Gorda,Antofagasta
Taltal,Antofagasta
Calama,Antofagasta
Ollague,Antofagasta
San Pedro De Atacama,Antofagasta
Tocopilla,Antofagasta
María Elena,Antofagasta
Copiapó,Atacama
Caldera,Atacama
Tierra Amarilla,Atacama
Chañaral,Atacama
Diego De Almagro,Atacama
Vallenar,Atacama
Alto Del Carmen,Atacama
Freirina,Atacama
Huasco,Atacama
La Serena,Coquimbo
Coquimbo,Coquimbo
Andacollo,Coquimbo
La Higuera,Coquimbo
Paiguano,Coquimbo
Vicuña,Coquimbo
Illapel,Coquimbo
Canela,Coquimbo
Los Vilos,Coquimbo
Salamanca,Coquimbo
Ovalle,Coquimbo
Combarbalá,Coquimbo
Monte Patria,Coquimbo
Punitaqui,Coquimbo
Río Hurtado,Coquimbo
Valparaíso,Valparaíso
Casablanca,Valparaíso
Concón,Valparaíso
Juan Fernández,Valparaíso
Puchuncaví,Valparaíso
Quintero,Valparaíso
Viña Del Mar,Valparaíso
Isla De Pascua,Valparaíso
Los Andes,Valparaíso
Calle Larga,Valparaíso
Rinconada,Valparaíso
San Esteban,Valparaíso
La Ligua,Valparaíso
Cabildo,Valparaíso
Papudo,Valparaíso
Petorca,Valparaíso
Zapallar,Valparaíso
Quillota,Valparaíso
Calera,Valparaíso
Hijuelas,Valparaíso
La Cruz,Valparaíso
Nogales,Valparaíso
San Antonio,Valparaíso
Algarrobo,Valparaíso
Cartagena,Valparaíso
El Quisco,Valparaíso
El Tabo,Valparaíso
Santo Domingo,Valparaíso
San Felipe,Valparaíso
Catemu,Valparaíso
Llaillay,Valparaíso
Panquehue,Valparaíso
Putaendo,Valparaíso
Santa María,Valparaíso
Quilpué,Valparaíso
Limache,Valparaíso
Olmué,Valparaíso
Villa Alemana,Valparaíso
Rancagua,Libertador General Bernardo O'Higgins
Codegua,Libertador General Bernardo O'Higgins
Coinco,Libertador General Bernardo O'Higgins
Coltauco,Libertador General Bernardo O'Higgins
Doñihue,Libertador General Bernardo O'Higgins
Graneros,Libertador General Bernardo O'Higgins
Las Cabras,Libertador General Bernardo O'Higgins
Machali,Libertador General Bernardo O'Higgins
Malloa,Libertador General Bernardo O'Higgins
Mostazal,Libertador General Bernardo O'Higgins
El Olivar,Libertador General Bernardo O'Higgins
Peumo,Libertador General Bernardo O'Higgins
Pichidegua,Libertador General Bernardo O'Higgins
Quinta De Tilcoco,Libertador General Bernardo O'Higgins
Rengo,Libertador General Bernardo O'Higgins
Requinoa,Libertador General Bernardo O'Higgins
San Vicente,Libertador General Bernardo O'Higgins
Pichilemu,Libertador General Bernardo O'Higgins
La Estrella,Libertador General Bernardo O'Higgins
Litueche,Libertador General Bernardo O'Higgins
Marchihue,Libertador General Bernardo O'Higgins
Navidad,Libertador General Bernardo O'Higgins
Paredones,Libertador General Bernardo O'Higgins
San Fernando,Libertador General Bernardo O'Higgins
Chépica,Libertador General Bernardo O'Higgins
Chimbarongo,Libertador General Bernardo O'Higgins
Lolol,Libertador General Bernardo O'Higgins
Nancagua,Libertador General Bernardo O'Higgins
Palmilla,Libertador General Bernardo O'Higgins
Peralillo,Libertador General Bernardo O'Higgins
Placilla,Libertador General Bernardo O'Higgins
Pumanque,Libertador General Bernardo O'Higgins
Santa Cruz,Libertador General Bernardo O'Higgins
Talca,Maule
Constitución,Maule
Curepto,Maule
Empedrado,Maule
Maule,Maule
Pelarco,Maule
Pencahue,Maule
Río Claro,Maule
San Clemente,Maule
San Rafael,Maule
Cauquenes,Maule
Chanco,Maule
Pelluhue,Maule
Curicó,Maule
Hualañe,Maule
Licantén,Maule
Molina,Maule
Rauco,Maule
Romeral,Maule
Sagrada Familia,Maule
Teno,Maule
Vichuquén,Maule
Linares,Maule
Colbún,Maule
Longaví,Maule
Parral,Maule
Retiro,Maule
San Javier,Maule
Villa Alegre,Maule
Yerbas Buenas,Maule
Concepción,Biobío
Coronel,Biobío
Chiguayante,Biobío
Florida,Biobío
Hualqui,Biobío
Lota,Biobío
Penco,Biobío
San Pedro de la Paz,Biobío
Santa Juana,Biobío
Talcahuano,Biobío
Tomé,Biobío
Hualpén,Biobío
Lebu,Biobío
Arauco,Biobío
Cañete,Biobío
Contulmo,Biobío
Curanilahue,Biobío
Los Alamos,Biobío
Tirua,Biobío
Los Angeles,Biobío
Antuco,Biobío
Cabrero,Biobío
Laja,Biobío
Mulchén,Biobío
Nacimiento,Biobío
Negrete,Biobío
Quilaco,Biobío
Quilleco,Biobío
San Rosendo,Biobío
Santa Bárbara,Biobío
Tucapel,Biobío
Yumbel,Biobío
Alto Biobío,Biobío
Chillán,Biobío
Bulnes,Biobío
Cobquecura,Biobío
Coelemu,Biobío
Coihueco,Biobío
Chillán Viejo,Biobío
El Carmen,Biobío
Ninhue,Biobío
Ñiquén,Biobío
Pemuco,Biobío
Pinto,Biobío
Portezuelo,Biobío
Quillón,Biobío
Quirihue,Biobío
Ranquil,Biobío
San Carlos,Biobío
San Fabián,Biobío
San Ignacio,Biobío
San Nicolás,Biobío
Treguaco,Biobío
Yungay,Biobío
Temuco,Araucanía
Carahue,Araucanía
Cunco,Araucanía
Curarrehue,Araucanía
Freire,Araucanía
Galvarino,Araucanía
Gorbea,Araucanía
Lautaro,Araucanía
Loncoche,Araucanía
Melipeuco,Araucanía
Nueva Imperial,Araucanía
Padre Las Casas,Araucanía
Perquenco,Araucanía
Pitrufquén,Araucanía
Pucón,Araucanía
Saavedra,Araucanía
Teodoro Schmidt,Araucanía
Toltén,Araucanía
Vilcún,Araucanía
Villarrica,Araucanía
Cholchol,Araucanía
Angol,Araucanía
Collipulli,Araucanía
Curacautín,Araucanía
Ercilla,Araucanía
Lonquimay,Araucanía
Los Sauces,Araucanía
Lumaco,Araucanía
Puren,Araucanía
Renaico,Araucanía
Traiguén,Araucanía
Victoria,Araucanía
Puerto Montt,Los Lagos
Calbuco,Los Lagos
Cochamó,Los Lagos
Fresia,Los Lagos
Frutillar,Los Lagos
Los Muermos,Los Lagos
Llanquihue,Los Lagos
Maullín,Los Lagos
Puerto Varas,Los Lagos
Castro,Los Lagos
Ancud,Los Lagos
Chonchi,Los Lagos
Curaco de Velez,Los Lagos
Dalcahue,Los Lagos
Puqueldón,Los Lagos
Queilén,Los Lagos
Quellón,Los Lagos
Quemchi,Los Lagos
Quinchao,Los Lagos
Osorno,Los Lagos
Puerto Octay,Los Lagos
Purranque,Los Lagos
Puyehue,Los Lagos
Río Negro,Los Lagos
San Juan de la Costa,Los Lagos
San Pablo,Los Lagos
Chaitén,Los Lagos
Futaleufú,Los Lagos
Hualaihue,Los Lagos
Palena,Los Lagos
Coihayque,Aysén del General Carlos Ibáñez del Campo
Lago Verde,Aysén del General Carlos Ibáñez del Campo
Aisén,Aysén del General Carlos Ibáñez del Campo
Cisnes,Aysén del General Carlos Ibáñez del Campo
Guaitecas,Aysén del General Carlos Ibáñez del Campo
Cochrane,Aysén del General Carlos Ibáñez del Campo
O'Higgins,Aysén del General Carlos Ibáñez del Campo
Tortel,Aysén del General Carlos Ibáñez del Campo
Chile Chico,Aysén del General Carlos Ibáñez del Campo
Río Ibáñez,Aysén del General Carlos Ibáñez del Campo
Punta Arenas,Magallanes y la Antártica Chilena
Laguna Blanca,Magallanes y la Antártica Chilena
Río Verde,Magallanes y la Antártica Chilena
San Gregorio,Magallanes y la Antártica Chilena
Cabo de Hornos,Magallanes y la Antártica Chilena
Antártica,Magallanes y la Antártica Chilena
Porvenir,Magallanes y la Antártica Chilena
Primavera,Magallanes y la Antártica Chilena
Timaukel,Magallanes y la Antártica Chilena
Natales,Magallanes y la Antártica Chilena
Torres del Paine,Magallanes y la Antártica Chilena
Santiago,Metropolitana de Santiago
Cerrillos,Metropolitana de Santiago
Cerro Navia,Metropolitana de Santiago
Conchalí,Metropolitana de Santiago
El Bosque,Metropolitana de Santiago
Estación Central,Metropolitana de Santiago
Huechuraba,Metropolitana de Santiago
Independencia,Metropolitana de Santiago
La Cisterna,Metropolitana de Santiago
La Florida,Metropolitana de Santiago
La Granja,Metropolitana de Santiago
La Pintana,Metropolitana de Santiago
La Reina,Metropolitana de Santiago
Las Condes,Metropolitana de Santiago
Lo Barnechea,Metropolitana de Santiago
Lo Espejo,Metropolitana de Santiago
Lo Prado,Metropolitana de Santiago
Macul,Metropolitana de Santiago
Maipú,Metropolitana de Santiago
Ñuñoa,Metropolitana de Santiago
Pedro Aguirre Cerda,Metropolitana de Santiago
Peñalolén,Metropolitana de Santiago
Providencia,Metropolitana de Santiago
Pudahuel,Metropolitana de Santiago
Quilicura,Metropolitana de Santiago
Quinta Normal,Metropolitana de Santiago
Recoleta,Metropolitana de Santiago
Renca,Metropolitana de Santiago
San Joaquín,Metropolitana de Santiago
San Miguel,Metropolitana de Santiago
San Ramón,Metropolitana de Santiago
Vitacura,Metropolitana de Santiago
Puente Alto,Metropolitana de Santiago
Pirque,Metropolitana de Santiago
San José De Maipo,Metropolitana de Santiago
Colina,Metropolitana de Santiago
Lampa,Metropolitana de Santiago
Tiltil,Metropolitana de Santiago
San Bernardo,Metropolitana de Santiago
Buin,Metropolitana de Santiago
Calera De Tango,Metropolitana de Santiago
Paine,Metropolitana de Santiago
Melipilla,Metropolitana de Santiago
Alhué,Metropolitana de Santiago
Curacaví,Metropolitana de Santiago
María Pinto,Metropolitana de Santiago
San Pedro,Metropolitana de Santiago
Talagante,Metropolitana de Santiago
El Monte,Metropolitana de Santiago
Isla De Maipo,Metropolitana de Santiago
Padre Hurtado,Metropolitana de Santiago
Peñaflor,Metropolitana de Santiago
Valdivia,Los Ríos
Corral,Los Ríos
Lanco,Los Ríos
Los Lagos,Los Ríos
Máfil,Los Ríos
Mariquina,Los Ríos
Paillaco,Los Ríos
Panguipulli,Los Ríos
La Unión,Los Ríos
Futrono,Los Ríos
Lago Ranco,Los Ríos
Río Bueno,Los Ríos
Arica,Arica y Parinacota
Camarones,Arica y Parinacota
Putre,Arica y Parinacota
General Lagos,Arica y Parinacota
